"Sens Factor =-0.043dB, SERNO: 7152507"
10.054	-3.5154
10.179	-3.3590
10.306	-3.2059
10.434	-3.0559
10.564	-2.9092
10.696	-2.7655
10.829	-2.6249
10.964	-2.4875
11.1	-2.3530
11.238	-2.2215
11.378	-2.0930
11.52	-1.9674
11.663	-1.8447
11.809	-1.7249
11.956	-1.6080
12.104	-1.4938
12.255	-1.3824
12.408	-1.2738
12.562	-1.1678
12.718	-1.0645
12.877	-0.9639
13.037	-0.8659
13.199	-0.7705
13.364	-0.6776
13.53	-0.5872
13.698	-0.4993
13.869	-0.4139
14.042	-0.3309
14.216	-0.2502
14.393	-0.1719
14.573	-0.0960
14.754	-0.0223
14.938	0.0491
15.124	0.1183
15.312	0.1853
15.503	0.2501
15.696	0.3128
15.891	0.3734
16.089	0.4320
16.289	0.4885
16.492	0.5430
16.697	0.5956
16.905	0.6462
17.115	0.6949
17.328	0.7418
17.544	0.7868
17.763	0.8300
17.984	0.8714
18.208	0.9111
18.434	0.9491
18.664	0.9854
18.896	1.0201
19.131	1.0531
19.369	1.0846
19.611	1.1145
19.855	1.1429
20.102	1.1699
20.352	1.1953
20.605	1.2194
20.862	1.2421
21.122	1.2634
21.385	1.2834
21.651	1.3021
21.92	1.3195
22.193	1.3358
22.47	1.3508
22.749	1.3647
23.032	1.3774
23.319	1.3891
23.609	1.3996
23.903	1.4092
24.201	1.4177
24.502	1.4253
24.807	1.4320
25.116	1.4377
25.429	1.4426
25.745	1.4466
26.066	1.4499
26.39	1.4523
26.719	1.4540
27.051	1.4551
27.388	1.4554
27.729	1.4551
28.074	1.4541
28.424	1.4526
28.778	1.4506
29.136	1.4480
29.499	1.4449
29.866	1.4414
30.238	1.4375
30.614	1.4332
30.995	1.4285
31.381	1.4235
31.772	1.4183
32.167	1.4127
32.568	1.4070
32.973	1.4010
33.383	1.3949
33.799	1.3886
34.22	1.3823
34.646	1.3759
35.077	1.3695
35.514	1.3640
35.956	1.3581
36.403	1.3516
36.857	1.3447
37.315	1.3373
37.78	1.3294
38.25	1.3211
38.726	1.3126
39.209	1.3039
39.697	1.2951
40.191	1.2864
40.691	1.2779
41.198	1.2697
41.711	1.2620
42.23	1.2547
42.756	1.2479
43.288	1.2415
43.827	1.2355
44.372	1.2297
44.925	1.2241
45.484	1.2186
46.05	1.2130
46.623	1.2073
47.204	1.2014
47.791	1.1951
48.386	1.1884
48.989	1.1813
49.599	1.1736
50.216	1.1655
50.841	1.1569
51.474	1.1479
52.115	1.1385
52.764	1.1289
53.42	1.1191
54.085	1.1092
54.759	1.0993
55.44	1.0894
56.131	1.0798
56.829	1.0703
57.537	1.0611
58.253	1.0524
58.978	1.0441
59.712	1.0365
60.456	1.0295
61.208	1.0232
61.97	1.0178
62.742	1.0132
63.523	1.0094
64.314	1.0063
65.114	1.0040
65.925	1.0022
66.745	1.0008
67.576	0.9996
68.418	0.9986
69.269	0.9976
70.132	0.9964
71.005	0.9951
71.889	0.9935
72.784	0.9918
73.69	0.9898
74.607	0.9877
75.536	0.9855
76.476	0.9830
77.428	0.9805
78.392	0.9779
79.368	0.9751
80.356	0.9722
81.356	0.9693
82.369	0.9662
83.394	0.9632
84.433	0.9601
85.484	0.9569
86.548	0.9537
87.625	0.9504
88.716	0.9472
89.82	0.9438
90.939	0.9405
92.071	0.9370
93.217	0.9335
94.377	0.9298
95.552	0.9259
96.742	0.9219
97.946	0.9176
99.165	0.9130
100.4	0.9082
101.65	0.9031
102.915	0.8977
104.196	0.8920
105.493	0.8862
106.806	0.8802
108.136	0.8741
109.482	0.8680
110.845	0.8619
112.225	0.8559
113.622	0.8500
115.037	0.8442
116.469	0.8385
117.919	0.8331
119.386	0.8279
120.873	0.8229
122.377	0.8182
123.901	0.8137
125.443	0.8095
127.005	0.8055
128.586	0.8018
130.187	0.7984
131.807	0.7953
133.448	0.7925
135.109	0.7900
136.791	0.7878
138.494	0.7859
140.218	0.7843
141.964	0.7829
143.731	0.7816
145.52	0.7803
147.332	0.7790
149.166	0.7775
151.023	0.7757
152.903	0.7738
154.806	0.7716
156.734	0.7693
158.685	0.7670
160.66	0.7644
162.66	0.7618
164.685	0.7590
166.735	0.7561
168.811	0.7530
170.912	0.7498
173.04	0.7466
175.194	0.7431
177.375	0.7396
179.583	0.7358
181.819	0.7320
184.082	0.7280
186.374	0.7238
188.694	0.7196
191.043	0.7152
193.421	0.7107
195.829	0.7060
198.267	0.7010
200.735	0.6958
203.234	0.6903
205.764	0.6846
